taxonID,scientificName
58505,Polites
81559,Epargyreus
52773,Poanes
58521,Euphyes
122363,Pyrgus
58469,Thorybes
58475,Erynnis
58513,Polites
58481,Ancyloxypha
58507,Poanes
58484,Thymelicus
58478,Erynnis
58506,Polites
148883,Eantis
232578,Thorybes
257634,Antigonus
148800,Chioides
67435,Urbanus
58511,Poanes
51311,Urbanus
229679,Pyrgus
122280,Pyrgus
58510,Wallengrenia
58514,Euphyes
147931,Panoquina
50340,Hylephila
51349,Pyrgus
130474,Achlyodes
232577,Thorybes
142988,Lerema
49759,Pyrgus
59193,Hesperia
50071,Erynnis
148862,Amblyscirtes
117381,Hesperia
58472,Thorybes
214670,Autochton
148516,Heliopetes
148517,Heliopetes
51765,Poanes
133631,Polites
148520,Gesta
213338,Amblyscirtes
219499,Erynnis
59195,Lerodea
69942,Phocides
58479,Pholisora
55785,Ochlodes
52075,Atalopedes
69743,Wallengrenia
59192,Polites
59189,Erynnis
59188,Erynnis
58473,Erynnis
126118,Amblyscirtes
122375,Carterocephalus
58509,Anatrytone
58474,Erynnis
226361,Oligoria
58516,Atrytonopsis
148537,Astraptes
132334,Urbanus
174535,Celotes
59190,Heliopetes
257707,Eantis
126606,Panoquina
148522,Systasea
214593,Atrytone
117372,Erynnis
213341,Amblyscirtes
148866,Amblyscirtes
117374,Hesperia
59187,Erynnis
58495,Hesperia
117373,Erynnis
58518,Amblyscirtes
83543,Pyrgus
53866,Calpodes
58476,Erynnis
148524,Antigonus
148619,Mylon
148519,Pyrgus
126162,Hesperia
148607,Timochares
117376,Polites
58519,Pompeius
148804,Cabares
148527,Atarnes
202451,Copaeodes
293920,Mysoria
127929,Achalarus
148599,Monca
257718,Epargyreus
143021,Xenophanes
132077,Staphylus
148592,Vettius
108343,Panoquina
257673,Celaenorrhinus
213336,Amblyscirtes
204689,Poanes
129365,Apyrrothrix
143767,Piruna
214598,Atrytonopsis
122372,Ochlodes
204771,Systasea
179300,Piruna
127928,Autochton
257761,Phocides
127304,Staphylus
148535,Arteurotia
221225,Hesperia
148802,Grais
148786,Proteides
179855,Polites
69863,Polygonus
194111,Phocides
205859,Euphyes
347790,Pyrrhopyge
198808,Euphyes
148819,Polyctor
59194,Ochlodes
209741,Thorybes
229680,Pyrgus
58508,Poanes
293905,Polythrix
58468,Hesperia
213331,Amblyscirtes
58522,Euphyes
148528,Staphylus
119280,Hesperia
227114,Paratrytone
223527,Lerodea
148845,Urbanus
257806,Urbanus
129415,Copaeodes
212312,Achalarus
148544,Epargyreus
257635,Antigonus
226071,Oarisma
148604,Quadrus
58477,Erynnis
148518,Heliopyrgus
146728,Chioides
122364,Hesperia
257817,Zopyrion
146736,Chiomara
257717,Epargyreus
213332,Amblyscirtes
142636,Cogia
214375,Asbolis
257636,Astraptes
143664,Nastra
217305,Cogia
257621,Achlyodes
226902,Panoquina
218000,Cymaenes
257773,Pythonides
257766,Polythrix
204779,Urbanus
257472,Cymaenes
257794,Thessia
82482,Heliopetes
148521,Cycloglypha
257724,Gorgythion
148741,Autochton
322330,Achlyodes
148541,Urbanus
257689,Codatractus
148614,Nisoniades
257819,Elbella
148843,Thespieus
205174,Chiomara
257579,Synapte
148534,Spathilepia
148789,Paches
257576,Synapte
148823,Quadrus
214595,Atrytonopsis
148594,Vidius
257475,Cymaenes
148702,Cogia
148816,Astraptes
224544,Megathymus
148785,Codatractus
128085,Achalarus
214669,Autochton
173418,Pholisora
148737,Pompeius
148758,Theagenes
257795,Timochares
257436,Piruna
213343,Amblyscirtes
132125,Perichares
62974,Anatrytone
148542,Aguna
213334,Amblyscirtes
148683,Urbanus
257768,Pyrgus
219496,Erynnis
143146,Amblyscirtes
200624,Pyrrhopyge
148617,Polythrix
228426,Poanes
219783,Euphyes
204814,Problema
486403,Perichares
202432,Poanes
218185,Decinea
148740,Pellicia
257691,Codatractus
148766,Lerema
257796,Typhedanus
128083,Achalarus
148540,Aguna
148805,Nyctelius
148593,Nastra
257824,Mysoria
257648,Autochton
